year,COM,GUY,LBR,SEN,BRN,JPN,USA,RUS,OMN,ALB,BOL,SYR,BDI,ISL,TWN,QAT,CHE,PAK,MMR,MDG,PNG,TCD,EGY,HTI,ZAF,BHS,MAR,IND,BFA,JAM,PHL,VNM,GNQ,THA,SLE,ESP,AFG,PRT,MUS,GIN,GTM,IDN,AGO,HKG,MRT,GNB,POL,ECU,DZA,GMB,NLD,CMR,CIV,NGA,ARG,MNG,SLV,MEX,TUN,IRQ,HND,BRB,VUT,KHM,ETH,DNK,FRA,KOR,KEN,ITA,GHA,NCL,DEU,VEN,FJI,ISR,BRA,MLT,LAO,SDN,BGR,NZL,PRY,AUT,MLI,PER,LKA,BMU,GAB,BHR,HUN,PRK,JOR,CHL,KWT,CAN,CAF,CRI,GRC,TGO,TTO,COL,SWE,URY,PAN,LBN,BEL,WSM,SOM,SGP,NER,YEM,MOZ,LBY,IRN,DJI,AUS,CHN,DOM,UGA,CUB,IRL,SUR,BEN,COG,FIN,TUR,GBR,NOR,NIC,CYP
1962,-0.34410962,0.06828831,-0.4422359999999999,-0.2038296,0.1937164999999999,2.0911243,2.072395,0.53556436,0.0030490172,-0.48691702,-0.1364848,-0.7887893,-1.4617553,-0.21505976,0.92309994,-1.6114401000000005,2.3319400000000003,-0.23699903,-0.7814889,-0.74882036,-0.6673763,-0.7189437,-0.18150643,0.12571849,-0.25143555,0.95403653,0.0606862529999999,0.19861509,-0.3345752,0.66196096,0.3863896,-0.29621,0.45141482,-0.60714537,-0.5770609999999999,0.53231275,-0.6298273,1.1619191,-1.2906323999999998,-0.5739845,-1.0846523,-1.0302192,-0.7256103,1.4188915000000002,1.3630652,-1.0871919,0.84175396,-0.08915253,-0.04758253,-0.5700778000000001,1.533548,-0.8142165,-0.80903727,-1.137573,-0.27564973,-0.80466324,-1.0338717,0.16552041,-0.16759866,-0.7262734000000001,-0.71542084,0.12727982,-0.5545183000000001,-0.6495477,-0.8421780999999999,1.6905077000000002,1.8460262,0.45628268,-0.57280135,1.9718326,-0.6426970000000001,-0.5443260999999999,2.4106553,-0.19462815,-0.6330720000000001,1.2821985,-0.5907968000000001,1.6003091,-1.5489864,-0.9824225,0.39524254,0.14404422,-0.79286,2.0453987,-0.8122236999999999,-0.5688041,-0.77919406,2.0448601,-0.8990509,-0.20104006,1.1879866,0.074340716,0.37770316,0.036811244,-1.262043,0.6937803000000001,-1.2223634,-0.46115443,-0.122700125,-0.4394116,-0.01603197,-0.54789084,2.2045429,0.10603242,1.0897982,-0.37738422,1.6757505,-1.123399,-0.7857396,1.020451,-0.7872915,-1.0965228,-0.7676261,-1.1077496999999998,-0.9139069,0.4781139,0.10056265,0.7954751,-0.47357494,-1.3106213,-0.3790232,1.1726614,-0.18254761,0.062016793,-0.8655748,1.1255391,-0.70439345,2.2887685,1.3659586,-1.0757532,0.00065216847
1963,-0.13849986,-0.11273856,-0.76403546,-0.19881257,-1.3631101,1.9171507,2.0341256000000003,0.31647545,0.8371597,0.21264538,-0.2820094,-0.25197032,-1.384985,0.06884939,1.0847015,-1.6848441000000005,2.275444,-0.010725251,-0.9995871,-0.8920443000000001,-0.79764277,-0.9067801,0.2543675999999999,-0.11549635,-0.3529620999999999,1.3847317,-0.068689354,0.30749822,-0.37234768,0.33897674,0.2631128,-0.4792691,-0.38732144,-0.7083026,-0.46735135,0.4488981999999999,-0.9304326,0.94562256,-1.4787022,-0.7914069,-0.055096958,-0.8908404000000001,-1.127484,1.4061422,1.3479178,-0.9904981,0.8184125,-0.2813903,-0.36932632,0.0010946048,1.4898245,-0.80614835,-1.0900228,-1.0469308000000002,-0.26230553,-0.18457684,0.4477416,0.057322208,-0.4336864,-0.50306594,-0.011484443,-0.63899785,-0.53405684,-0.82723397,-0.6485871,1.625534,1.8066375,0.8303079,-0.8020071999999999,1.9434495,-0.83125,0.053177916,2.3934124,-0.4113760999999999,-0.6903015,1.1788543,-0.8628689,1.5224998,-1.055933,-0.8505376,0.26240158,0.18808341,-0.9230976,2.0540192,-0.44331968,-0.6710735999999999,-0.40862742,1.8477244,-1.0534666,-0.14715154,0.97116977,-0.1904436,0.4215431999999999,0.07049298,-1.4183874,0.5861516,-1.31607,-0.08433086,-0.0908774359999999,-0.73419654,-0.18899927,-0.7662396,2.1464593,-0.07516958,1.07706,-0.005640556,1.6052636999999998,-1.2370571,-0.72016746,1.0183501,-0.93096745,-1.2245309,-0.88865906,-1.8419621,-0.41009754,1.1742936000000002,0.20015515,0.66156656,-0.57511455,-1.4918821000000002,-0.32507277,1.0084096,-0.26777294,0.26479644,-0.65458596,1.3759388,-0.7694298,2.2784467,1.2310526000000002,-1.0578693,-0.13132308
1964,-1.421275,-0.13073759,-0.60410625,-0.4848912,-0.46922702,1.8959717,2.039541,0.7263259,-0.86826897,-0.7693425,0.096766554,0.06377887,-1.4490441,0.07183197,1.1958162,-0.92708457,2.3393245,0.07381023,-0.8793419,-0.8494715,-1.0535933000000002,-0.68534184,-0.0266132039999999,-0.10095242,-0.31401572,1.038966,-0.12405312,0.14049818,-0.64706004,0.3820140999999999,0.26172677,-0.3868289,-0.20181188,-0.68673885,-0.8870146000000001,0.6048349000000001,-0.78624326,0.9437829,-0.31500867,-0.78947943,0.4227022,-1.2893732,-1.1273177,1.3751082,-0.82693654,-1.1599241000000002,0.99034166,-0.5976136,-0.1954701,0.44980878,1.5638428,-0.99614656,-0.89918566,-1.1366495,0.22790115,-0.43212238,0.53251535,0.3274022,-0.28870723,-0.82491875,-0.02294044,0.41567522,-1.0174837,-0.8528290000000001,-0.9506104,1.62625,1.864081,0.9296835,-0.59296006,1.9700286,-1.1054002,-0.49794236,2.3677413,-0.30207804,-1.0456929,1.1496414,-0.64437175,1.4370598,-1.104558,-1.3905691999999998,0.65459365,0.2744389,-0.8127842,2.0803285,-0.40959308,-0.60186887,-0.5875674,1.7141763,-1.1881821,0.33902955,0.9343532,0.36057734,0.4910009,0.28925294,-1.1805223,0.72852075,-1.2644566000000002,0.37593165,-0.008369098,-0.71877265,-0.48634267,-0.15788858,2.1456113,0.2611652,0.92518955,0.26231474,1.601512,-0.83008844,-0.7232171,0.67246974,-0.91568655,-0.86498475,-0.9381223,-1.9841049,-0.41108558,-0.36742672,0.3182042,0.59263635,-1.1079422,-1.4741036,-0.1919957,1.1943358,-0.9094449,0.0856988,-1.2305363,1.2937788,-0.60143393,2.22793,1.3216814,-0.22208759,-0.34425434
1965,-1.3122188,-0.2093353,-0.5653522,-0.42203778,-1.3095344999999998,1.9446954,2.0667915,0.7232834,-0.834009,-0.5183211,-0.36068043,-0.22882281,-0.48082682,-0.030546565,1.2956495,-1.6404166,2.3994143,-0.24541096,-0.9081357,-0.957524,-0.55424714,-0.6821634,-0.032425277,-0.020657491,-0.36992112,0.91141164,-0.2730621,0.19044057,-0.6098772,0.3920382,0.29441908,-0.29622078,-0.30511278,-0.80564195,-0.9255331,0.7105406,-0.7279238,1.0314711,-0.67951757,-0.6676708,0.48600882,-1.1907188,-1.0244089,1.4842992,-0.83699197,-0.78436315,1.0121667,-0.4659572,-0.45153973,-0.84608847,1.6499325,-0.70806247,-0.72821987,-1.1063869,0.13338868,-0.3972211,0.5376869000000001,0.25998595,-0.30462873,-0.8418603000000001,-0.43092197,-0.6184601,-0.99846494,-1.0178777,-0.9608984,1.72199,1.9650842,1.0676465,-0.44064358,2.0409675,-0.7044604999999999,-0.56320626,2.4680343,-0.41090205,-0.58644325,1.179715,-0.5012557,1.5435627,-0.90279144,-1.3406523,0.7318618,0.22985268,-0.6476563,2.128641,-0.6294488,-0.6196969,-0.79220986,1.5312108,-0.9949921,-0.36680835,0.98201793,0.01719511,0.4020068,0.030341456,-1.1911317,0.6481505,-1.2960243,0.9343938,0.0025212755,-0.70629746,0.15429413,0.070014454,2.1594949,0.6538395,0.93172073,0.3608595999999999,1.6468477,-0.04447477,-0.79440296,0.54303813,-1.0470889,-0.8633407,-0.95520383,-1.9256107,-0.4837062,-1.033246,0.25408193,0.5929485,-0.8929315000000001,-1.1968,-0.06722334,1.2583282,-0.2805291,-0.10078796,-0.8243393,1.3312169,-0.7154682,2.347121,1.2164813,0.14359745,-0.49297932
1966,-1.3340379,-0.37669793,-0.5231932,-0.14793299,-0.46155408,1.8819798,2.0181568,0.6384206,-0.6699275,0.13920824,-0.41322842,0.20763959,-1.0825276,-0.07876649,1.2928152,-2.010892,2.2712739,-0.363596,-0.99875695,-0.9329806,-0.5774524999999999,-0.69564563,0.085038185,-0.13979651,-0.28327557,0.72667044,-0.2633827,0.17943294,-0.6236659000000001,0.22887923,0.19391622,0.0597970929999999,1.5362453,-0.87306565,-0.9059101,0.6962334,-0.91353786,0.98793906,-0.5085794,-0.85153055,0.5399451999999999,-1.1849093000000002,-1.0694786,1.3340471,-0.6868173000000001,-0.9460087,1.015565,-0.43308845,-0.19142094,-0.529257,1.5097005,-0.74605805,-0.74966866,-1.169983,-0.24274361,-0.7843380999999999,0.8334024999999999,0.29667127,-0.27030477,-0.6777164000000001,-0.27611992,0.47290698,-0.8248273000000002,-0.977049,-0.82177114,1.5702196000000002,1.7891886,0.9027549,-0.42591593,1.9520429,-0.81761664,-0.23833826,2.3554072,-0.8700437,-0.3094608,1.0452703,-0.60842395,1.4018809,-0.6832871,-1.1902012,0.7323618000000001,0.06230274,-0.6882102,2.0353787,-0.71476287,-0.54555255,-0.84140044,1.1607333,-1.3867773,-0.098475985,1.0240465,0.35775962,0.2937719,0.30167004,-1.2752451,0.75286925,-1.3251023000000002,0.9692985,0.02805707,-0.502387,0.14844579,0.2012512,2.2374177000000004,0.28586838,0.90936863,0.16389655,1.5648185,-0.15976112,0.19083306,0.48305407,-0.62298155,-1.142127,-0.6943468,-2.0045195,-0.5688512,-1.3655511,0.4556350999999999,0.61900955,-0.8572457,-1.5358413,-0.20490372,1.1403441,-0.32055098,-0.28472868,-1.1815776000000002,1.4687902,-0.68222994,2.2795675,1.3010426000000002,0.17770427,-0.2343784
1967,-0.4939229999999999,-0.2910202,-0.7714496999999999,-0.36811236,-0.25994986,1.8787849,1.9634919,0.5732096999999999,-1.2691377,0.35659105,-0.62085664,-0.26852232,-1.1902591,0.0558748,1.2537498,-1.7896819,2.2325506,0.31161225,-1.0017173,-0.5298698000000001,-0.7416977,-0.7896199,-0.001442564,0.07320722,-0.27574924,1.0597876,-0.26762325,0.06696768,-0.31378084,0.19572255,0.20516235,-0.19341955,-1.537488,-0.69266725,-1.0711222,0.7215225000000001,-0.74817634,1.0903796,-0.4364699000000001,-1.0238826,0.5127215,-1.2352248,-1.0333867,1.4915382,-0.71890205,-0.99320006,0.9094925,-0.5984334,-0.6596416,-1.1493329,1.4764276,-0.90493333,-0.8887388,-1.0940703,0.16546468,0.05019526,0.91436917,0.16463365,-0.2705099,-0.9146646,-0.07819402,0.85835326,-0.77612513,-0.710676,-0.8681465,1.6060795,1.7860798999999998,1.0072448,-0.22515231,1.9909289,-0.74766725,-0.21656252,2.2959400000000003,-0.6852421999999999,-0.24709228,1.0005468000000002,-0.2548241,1.4838785,-0.64986306,-1.2184411,0.35337043,0.1007293,-0.54868186,2.062091,-0.8323414000000001,-0.5949366,-0.9037812,1.018829,-1.3767368999999998,-1.6452491000000002,0.8780123,0.5232318,0.37264267,0.04940511,-1.3246534,0.6791467,-1.0160866,1.0025287,0.0048834863,-0.58399445,0.07907184,0.16595086,2.12401,0.4944154999999999,0.7968360999999999,0.5767558,1.4808778,-0.28488216,-0.05772385,0.40654275,-0.8702004999999999,-1.0309379,-0.79183316,-2.1127336,-0.7533854999999999,0.71081877,0.24582626,0.6843051,-0.76568097,-1.3175302,0.33067554,1.1038290000000002,-0.49772114,-0.6303302,-0.9704128,1.455478,-0.68302685,2.1709762,1.339392,0.16218713,-0.21823737
1968,-1.1037972,-0.3447473,-0.97422475,-0.38049355,-1.0804768,1.8448712,1.9577651000000005,0.42962915,-1.5630035,0.19355477,-0.8851376,-0.14452973,-0.8680038,0.28291085,1.1521689,-1.9631511,2.1128137,0.17055519,-0.9668596,-0.6848831999999999,-0.9894789,-0.8377235999999999,0.141193,0.30587554,-0.3978107999999999,0.7854538000000001,-0.21957491,0.14040025,-0.2108496,0.20649216,-0.3850950999999999,0.41436756,1.0809786,-0.5944599,-1.0554909,0.78152907,-0.71252656,1.0147023000000002,-0.6355889,-0.8495882,0.52469325,-1.2105912,-1.129591,1.3978876,-0.5840209,-1.1434911,0.9209382,-0.58387965,-0.6151945,-0.7155191999999999,1.4081618,-0.44808155,-0.9004645,-1.3173794,0.14811122,-0.54326767,0.8662624,0.3066113,-0.12907933,-0.9357973,-0.1157541,0.6484409000000001,-1.165284,-0.6683684,-0.8907883,1.5995489,1.7160808,0.99273515,-0.30184412,1.8991647,-0.99548084,-1.2818617,2.225398,-0.7130846,-0.040040415,1.1053457,-0.32593182,1.4185046,-0.4389499,-1.1803903999999998,0.5811871999999999,0.18438914,-0.60575444,1.9492502,-0.62530446,-0.6762423000000001,-1.0488442,0.8732509,-1.3705839,-0.05976893,0.91542095,0.35321614,0.4021344,0.0424749659999999,-1.2088968,0.6867270000000001,-0.9644007,0.9261316,0.120538175,-1.1855537,0.38849854,-0.17984301,1.9680175,0.41863438,1.1517608,0.7129770000000001,1.5290651000000002,-0.30301806,-0.22827062,0.34532228,-0.62191594,-0.5900042,-0.85931873,-1.8649285,-0.73145294,1.7353183,0.2153976,0.6102814999999999,-0.739667,-1.3815657,0.19656582,1.0541011999999998,-0.43228176,-0.8208367,-1.0615448,1.4019281,-0.6548015,2.0580246,1.258037,0.14145628,-0.1546968
1969,-1.0046154,-0.51167846,-1.2084107,-0.05065038,-0.80015856,1.929652,1.9097674,0.3326923,-1.4220101,0.16540948,-0.835895,-0.14873129,-1.2951386,0.44864565,1.3145452,-1.0405027,2.225965,0.012966453,-1.1920744,-0.6739556999999999,-1.0212264000000002,-0.6701362,0.20710607,0.33199346,-0.40555423,0.6358118,-0.17721282,0.12666996,-0.48875576,0.17579216,-0.32904533,0.08483387,-1.3594085,-0.71718454,-1.0296739,1.081226,-0.71582425,1.0421380999999998,-0.7587798000000001,-0.7550908000000001,0.5536496999999999,-1.2256545,-0.9533166,1.4370768,-0.44602466,-1.0142472,0.8472400999999999,-0.5671936,-0.23156251,-1.4330325000000002,1.4158151,-0.24165417,-0.72330606,-1.2978598,0.19909412,-0.42793506,0.83972114,0.41125014,-0.17506154,-0.7858986,-0.14134052,0.7446434000000001,-1.1544586,-0.85492724,-0.818077,1.6202843999999998,1.8168813,0.9338128,-0.23558089,2.0643013,-1.0286143,-0.9085177,2.314731,-0.55969614,-0.4680889,0.95936215,-0.4073152,1.3613309999999998,-0.64787424,-1.3034164,0.7748128000000001,0.19789559,-0.71276605,2.0469708,-0.97770786,-0.61233324,-1.2026219,0.82781416,-1.3513616000000002,-0.29367876,0.9107936,-0.02380656,0.58110726,-0.20445679,-1.1043338,0.70765024,-0.62751967,0.92396873,0.42850596,-1.2207892,0.23878351,-0.102576144,2.0731184,0.32643494,0.76644784,0.81182784,1.5581825,-0.3248864999999999,-0.30849436,0.2553417,-0.9059495,-0.5270355,-0.6845106,-1.9668596,-0.6825281999999999,-0.066602245,0.11169949,0.5972392,-0.47620678,-1.3822044,-0.0093333945,1.0199454,-0.49861395,-0.8304299,-1.0517238000000002,1.4899815,-0.5826216999999999,2.1097274,1.3578565,0.023058943,-0.15748933
1970,1.213423,-7.460227e-05,-0.57833856,-0.1602357999999999,-0.91604936,1.9336735,1.7925843,0.55469096,-1.0253024,0.046105318,-0.6729375,0.13557449,-0.7034081,0.36490408,1.2042025,0.13456589,2.1918330000000004,0.021555834,-1.3035507,-0.8645964,-0.8328049999999999,-0.8159986,0.16131045,0.23528853,-0.29643407,0.52957284,-0.23169407,0.072487034,-0.32173136,0.21884193,-0.3006194,-0.16798954,-0.87057424,-0.8217584000000001,-0.82323027,0.9979135,-0.91598743,0.98798305,-0.63852304,-1.044946,0.45463708,-1.3541777,-1.1355752,1.3274745,-0.66121334,-1.0260023,0.84559894,-0.80976313,-0.37999982,-0.9657689,1.4290065,-0.5052991,-0.89188385,-1.5451179,0.00017687016,-0.7403268,0.919646,0.5998161999999999,-0.27194682,-0.6223271,0.21356691,0.89935094,-0.9500287,-1.0692985000000002,-0.91016275,1.5463523,1.7668136000000003,0.89750963,-0.36723074,2.0117502,-0.9029098,-0.74255586,2.3117435,-0.8509091999999999,-0.17189717,1.037456,-0.4054335,1.4660038999999998,-0.39641994,-1.5203784,0.7611588,0.2465105,-0.5953376,2.025504,-0.7737031,-0.6523619,-1.3789148,0.7490254,-1.2107247,0.80147827,0.87358844,0.25308746,0.45243832,-0.18036287,-0.60217816,0.67333806,-0.9203679,0.86099386,0.3815949999999999,-0.9979057,0.5899356,-0.15752402,2.130047,0.05966501,1.0798596,0.6809145999999999,1.5717428,-0.45927414,-0.28208476,0.39066288,-0.97284,-1.090508,-0.80122465,-1.8193783,-0.6951788000000001,0.6790733,0.012312998,0.60535437,-0.3392085999999999,-1.4709451,0.27690205,1.0114043,-0.40513247,-0.7268543000000001,-1.2092128999999998,1.458573,-0.5403005999999999,2.0960267,1.2290384,0.1567783999999999,-0.031622816
1971,-0.93359655,0.0064411103,-0.87728894,-0.100347206,-0.39492828,1.8627555,1.873357,0.4200062,-1.4151418,0.14907326,-0.57872945,0.08284666,-1.1049479,0.12083899,1.1231464,-1.0228189,2.2420282000000005,-0.16055554,-1.2299631000000002,-0.819129,-0.22269426,-0.8503743,0.19249243,0.4787941,-0.2854084,0.35612163,-0.016734937,0.2882095999999999,-0.45178872,0.28395212,-0.3900386,0.070820786,-1.3120812,-0.76746714,-0.9423535,0.9618041,-0.8236796000000001,0.92333883,-0.5927366,-0.7482805,0.51342183,-1.3357873,-1.2087041,1.4643763,-0.7914324,-0.8342941999999999,0.8294523000000001,-0.8731536,-0.42629436,-1.1802704,1.3564689,-0.735506,-0.71948254,-1.6915643,0.002423313,-0.37492722,0.80705565,0.69469243,-0.28816983,-0.5225572,-0.47721046,0.9356665,-0.8637183,-0.8688261,-0.96255255,1.5224874,1.7299956000000003,0.80465835,-0.119520575,2.039661,-0.94825363,-0.71483207,2.3048167,-0.9655289,0.057052907,0.8357528000000001,-0.32689664,1.5678118,-1.2484267,-1.375243,0.6527099000000001,0.18885107,-0.4882598,1.9845676,-0.80942523,-0.7457020999999999,-1.1448364,0.6379191,-1.3628561,0.81175655,0.8639754999999999,0.4126380999999999,0.3448558,-0.23157904,-0.5894413000000001,0.54304886,-0.7378075,0.9643506,0.37316102,-0.072395004,0.60384846,-0.11448804,2.1908464,0.24810344,0.64118344,0.6515991,1.4956886,-0.6200911,-0.2692757999999999,0.5400566,-0.82756126,-1.2022331,-0.6700244000000001,-2.1829011,-0.7509683000000001,0.51527745,0.019734513,0.5515656999999999,-0.23662694,-1.4914731,0.12061394,1.0895224,-0.26679015,-0.77906126,-0.9411222,1.3822609,-0.443655,2.164667,1.2975692,0.21678679,0.26635322
